text,span,polarity,ordinal,aspect
"does not fit the ear snugly.falls off often.,it's a good quality product but battery drains very fast.,anc is just a gimmick on this one, bass is poor, don't buy if you need bass.",battery,negative,0,battery
no charging issues.build quality is plastic and can feel it.ear buds tips aren't comfortable for long listening.,charging,negative,0,battery
"i think that was a software glitch, anyway it didn't appear again for sake!,good but battery drain pretty fast...,volume is less,nice products",battery,negative,0,battery
"nice one doesnot pain the ear too much,it is a good product under rs.700 but battery backup could be more efficient.",battery,negative,0,battery
"plus it gets charged slow.,all features of the watch is good but battery backup is very poor.",battery,negative,0,battery
"but power limitation is there it is not suitable for fast charging.,, data cable charging fast,very good quality and good durability,overall good but need some improvement...",power,negative,0,battery
"compatible with portable charger also,nice cable , length is very well good ,but charging speed is little bit slow otherwise good.",charging,negative,0,battery
but battery life is not good enough though is says 5000 mah.,battery,negative,0,battery
"earphones jack.overall ,camera excellent, but battery life not good, maximum 6 hours,as this price limit its a good mobile with camera, battery, screen quality",battery,negative,0,battery
"and require some button for operation.,call pick up rejection function, next song play function not working on single touch,product is good but battery not as expected",battery,negative,0,battery
but battery should be better it has require charge 1 time in day.,battery,negative,0,battery
"working at the moment but can breakdown any moment.,never buy separate remote, it is useless,don't buy this product battery drain problem",battery,negative,0,battery
"remaining all features are good...,ai is not working properly,watch is good ..but i had battery issue and alarm issues",battery,negative,0,battery
"this is another reason ppl r complaining about charging issue since item is generic, zinq prolly doesn't even know...",charging,negative,0,battery
"its a slow charging cable, but the look, sturdiness etc are impressive.planning to return the product.",charging,negative,0,battery
doing so will definitely cause serious overnight battery drain issues.,battery,negative,0,battery
"when using this cable to the same socket and charger, it showing 10 hrs.,iphone charger last for two months only,charging not fast,slow charging4500amh battery18 watt charger4 khant full charge,slow charging speed",charging,negative,0,battery
"its a slow charging cable vooc not support,though they call it as fast charging cable, it actually is not a fast charging cable.i tried it with my samsung fast charging adapter.",charging,negative,0,battery
"suitable lenght.,3 leads working,user friendly for car drives,doesn't charge proper, tried all possible ways.",charge,negative,0,battery
tried few cables from local stores and they either die or doesn't charge the device enough when it is in use.,charge,negative,0,battery
",battery drains like any thing.",battery,negative,0,battery
"you can't charge it with other c type charger.,good enough if you want to get some juice in a short time.",charge,negative,0,battery
"my airpots are not charging this time..thek are showing full charged but it's not working when i suppose to use.,superb,it's ok nice..but not up to the mark i used from 10 months",charging,negative,0,battery
it didn't charge a bit.4.,charge,negative,0,battery
very slow charging with 65w.,charging,negative,0,battery
not charging as fast as i'd have expected.,charging,negative,0,battery
"the prod was ordered in apr 22 and now in sept 22 its not charging the phone at all.i have contacted amazon for the same and looking forward for their help.,used it as a back up to charge phone in car.",charging,negative,0,battery
"all features are working quite well and connectivity with phone is also good.screen quality may be improved.,actually my smart watch bsw043 ring 3 is not charging 2 to 3 days.",charging,negative,0,battery
"but packaging is not good feeling like seller gave is used cable.,good product,good product but cost is more.,original cable,i bought this cable at 129.",packaging,negative,0,delivery
"but packaging should improve.,i am writing this review after using the product for 1month.",packaging,negative,0,delivery
"why company is not giving the refund option?,this is return delivery i got and this is also in fault..",delivery,negative,0,delivery
"i would however recommend just getting some l connector cables to avoid this issue altogether.,good useful product,weak packaging, but all the pieces came.",packaging,negative,0,delivery
"liked it..,reducing one star as packaging was not good.mouse is big.if you prefer small and travel friendly mice go for someother design.,the mouse looks good, and it is even easy to hold and use due to to it's design.",packaging,negative,0,delivery
"delivery wise no complaint.,this product am recived 5days...",delivery,negative,0,delivery
i gave a 1 star less because product had a small piece broken while delivery maybe.,delivery,negative,0,delivery
but when these arrived they don't fit in my camera.,arrived,negative,0,delivery
was expecting the item but when the delivery got late i had to understand unfortunately the product is of no good to me.,delivery,negative,0,delivery
"watch is awesome satisfiedworking properly,good,packaging was very bad,good,good router,good,nies,one of the cheapest wifi 5 gigabit routers.",packaging,negative,0,delivery
but very high delivery charges even for prime customers.,delivery,negative,0,delivery
"one of the most regretted purchase.,the product is a looking good but not a good sound quality, and then packaging is a very poor i think people open the product when it is packaged.",packaging,negative,0,delivery
s amazon delivery is really not up to the mark..,delivery,negative,0,delivery
the delivery people were not careful with the unpacking.,delivery,negative,0,delivery
the packaging was torn and damaged.,packaging,negative,0,delivery
"also, the packaging was open and not sealed when i recieved it.",packaging,negative,0,delivery
"lg was always good , correct delivery, good service but sound quality was poor.",delivery,negative,0,delivery
"not happy with the packaging and i hope realises from next order.,felt happy to see dell on its body i think it is genuine.",packaging,negative,0,delivery
"but i would like to rate 3 star for the packaging because there was no packaging..it came with a sealed box..,it is worth buying.",packaging,negative,0,delivery
"i ask amazon for a replacement thinking they could be defective, when the replacement arrived, the same thing happened.",arrived,negative,0,delivery
it seems someone taken while shipping because i got the packet broken.,shipping,negative,0,delivery
the packaging would be suspicious you would think a cheap unreliable product.,packaging,negative,0,delivery
"if bass is not what you are after, you are unlikely to find a better package even at a much higher price point, especially if you care for even sound.",package,negative,0,delivery
i have been using it for the past 2 months and haven't faced any issue.another problem with this montioe is the rubber that is used for rotating the montioe is cheap and gets broken initially only.,broken,negative,0,durability
"i used this product for about 4 months and really had no issues with it, until i noticed that my internet stopped working.",stopped working,negative,0,durability
"don't waste money buying expensive ones, go for this.,functionally very good, and it is a good replacement for the original remote, on which the power switch had stopped working.",stopped working,negative,0,durability
the return window closed two days ago and i can't return this broken garbage.,broken,negative,0,durability
"it says 60w capable, don't know how to measure it but works good with my 25wats brick.,the charging cable stopped working within 2 weeks.",stopped working,negative,0,durability
"it stopped working after a month of use.,value for money,but not get feel of original remote control with tv what we get .",stopped working,negative,0,durability
"does it's job.,now these days smartphone are so expensive and we are very careful about that, but once our charging cable lost or broken, we will think about the right one.",broken,negative,0,durability
"but after falling down it gets broken.,good for basic use not for gaming.,i like this product.",broken,negative,0,durability
it stopped working completely and the mouse cursor doesn't even move.,stopped working,negative,0,durability
but it stopped working within 6 months of usage.,stopped working,negative,0,durability
"apple car play has stopped working intermittently when using this cable,good product but phn was getting heat while its chrgeing,this cable is working great.",stopped working,negative,0,durability
"it stopped working after few months of usage,everything is good but the battery don t last that long when use for charging two device.",stopped working,negative,0,durability
"every time i mount or unmount my device, i have to take care a lot so that it might not get broken.",broken,negative,0,durability
"now i use this as my main work station all day.,the table is fantastic but i got a dameged or broken one.",broken,negative,0,durability
i had to use an old mouse in the mean time.i used to trust offbeat products but i am greatly disappointed as this mouse broke just after two weeks.,broke,negative,0,durability
"this wire was great purchase made to correct it,worked well for six months that s it, now it s stopped working, now planning to buy one more because the price has come down to 150,very good product.",stopped working,negative,0,durability
"cause it's stopped working.,the cable is physically resilient and looks good too.",stopped working,negative,0,durability
"i bought the original cable for 1k, and it stopped working after few months.this one is a fraction of cost, and is working well!,good product for 1 6 device.",stopped working,negative,0,durability
"also, the built quality is good.,the remote is working fine for now but durability not sure as not as the original but does the job.,it is good for samsung smart tv,nice one",durability,negative,0,durability
most of the keys stopped working within a month.,stopped working,negative,0,durability
"decent buy,very good product,value for money,this cable i bought in july'22 end and in december mid 22 it stopped working.",stopped working,negative,0,durability
"now lets see if they actually do as promised.original review after 6 months it stopped working, so raised a request for it.",stopped working,negative,0,durability
i have used 12v2a product for 9 months and it stopped working after that.,stopped working,negative,0,durability
stopped working after a month of use.,stopped working,negative,0,durability
it's the first time in my life that a router has broken and that too after just over a year's usage.,broken,negative,0,durability
"packaging was also good.,it's really of good quality, i have read problems like the apple pencil doesn't work after applying this protector but i honestly didn't feel any lag.",lag,negative,0,performance
"so, i think those games will work here without lag as well.tip just because, some people got defective piece doesn't mean you will too.",lag,negative,0,performance
no data loss problem or data corrupt problems i have faced yet.downs......the only downside is this pendrive is little slow because of technology 2.0 3.2 is newer one and second one is not affact your data at all..,slow,negative,0,performance
but i charge it regularly and battery charge never drops below 70 .the phone has sd680 processor which is more that enough for basic tasks and performs well without any lag.,lag,negative,0,performance
"the silver paint on pendrive is vanishing time by time and it is now turning black,product is good but slow,storage is good but doesn t work for car stereo,57 gb out of 64,so far so good,good product,ok",slow,negative,0,performance
i played bgmi and cod and didn't feel any lag in the sound.5.,lag,negative,0,performance
"plus it gets charged slow.,all features of the watch is good but battery backup is very poor.",slow,negative,0,performance
"also color print not working or not recognized.,does the job, but it's damn slow.",slow,negative,0,performance
"however it charges quite slow compared to original chargers, even when one mobile is charged at one time.,when using a regular cable, it takes about 2 hrs for a full charge.",slow,negative,0,performance
"product is good , and also it's strudiness .but no fast charging in this cable , it's normally charging .",fast,negative,0,performance
"tv looks fine, however i see some lag while selecting the applications such as amazon prime etc.",lag,negative,0,performance
there are noticeable lag while casting screen share.,lag,negative,0,performance
"in this price you can get the best product,processor very slow plg improve,smart work is slow but picture sound ok",slow,negative,0,performance
the response is little slow but that's still fine.,slow,negative,0,performance
the sound quality is not the best and i have noticed some lag when switching between apps.,lag,negative,0,performance
"i will recommend this tv if you want to buy this 32 inch s series tv.,writing review after 1.5 month use overall good but it become little slow when we install apps rest everything is fine.",slow,negative,0,performance
there is no lag while watching forwarding 4k 8k videos.2.,lag,negative,0,performance
wifi connection is little slow but it works mostly fine if router is nearby.,slow,negative,0,performance
"overall, happy that i bought this tv.,at this price picture quality is good but connectivity is slow and remote function also,good one happy with the purchase,,kodak tv,ok,nice tv,smart and good work",slow,negative,0,performance
"best but slow response from tv,product is good, for money,super quality....go with tcl,,best price,",slow,negative,0,performance
phone lag in two days of testing it has not lagged at all.,lag,negative,0,performance
"video call lag did not face any, did multiple video calls yesterday with different people, did not get any complaint from them about my video lag.",lag,negative,0,performance
sometimes i feel lag in touch though it is for microseconds but it is there.,lag,negative,0,performance
"however, the watch may lag a bit.",lag,negative,0,performance
no lags at all though there is provision for a 3 sec lag which can be turned on.9.,lag,negative,1,performance
you will not get features like slow motion etc etc.,slow,negative,0,performance
lightweight considering 20 k charge but slow charge.,slow,negative,0,performance
"the product charges iphone about 50 in an hour, but rest charging is very slow.",slow,negative,0,performance
"even with beast mode turned on, i felt no difference as the the lag still persisted.5.",lag,negative,0,performance
"ordered it for my home office and have been using this for almost 10 months, it looks good and there is no lag in typing and the keys are comfortable while typing.,nic product and smooth keyboard!",lag,negative,0,performance
i have been using it for the past 2 months and haven't faced any issue.another problem with this montioe is the rubber that is used for rotating the montioe is cheap and gets broken initially only.,cheap,negative,0,quality
"the cable is lengthy no quality loss till yet.ps i will update if there is any issues,,looks like cheap, but works fine",quality,negative,0,quality
"when held, it doesnt give off that cheap and flimsy product like feeling.",cheap,negative,0,quality
"it s a bit expensive but it keeps phone s screen looking new and shiny, and it is much much better than the cheap ones in doing so it s night and day difference.fit and finish is really good too.",cheap,negative,0,quality
"scroll wheel doesn't feel cheap at all, though i believe it could've been better quality.",quality,negative,0,quality
"suits my hand the best, tried some gaming mouse at 500 800 range but the feel is not good and my wrist starts to hurt on those cheap mice.",cheap,negative,0,quality
"amazon better not sell such cheap crap and loose trust.,good,working fine read write speed is good",cheap,negative,0,quality
"very good,why go for cheap chinese ones.,good cells,some of cell is not at 100 but they are at 90 or 80 price is low but stock is old.",cheap,negative,0,quality
"but still price is very good compare to other products.,good,it worked really well for 3 4 months but now it started showing its cheap chinese side.",cheap,negative,0,quality
"be careful while plugging and unplugging, or you may damage your device.very cheap and usable cable for 120 rs,super power,nice product.,in this price this is the best one",cheap,negative,0,quality
"i haven't had to use most of the other functions.,good performance,cheap and best alternative for your lg remote.",cheap,negative,0,quality
"sometimes it doesnt even connect to the phone.dont buy it, dont buy any other cheap cables.",cheap,negative,0,quality
you will not find a decent 16 gauge copper speaker cable for less than rs 2000.this is a cheap 16 gauge speaker and it does the job very well.,cheap,negative,0,quality
"looks cheap, but did it s job okay.",cheap,negative,0,quality
i don't think plastic back makes your phone or you look cheap.,cheap,negative,0,quality
"you may go for cheap tempered glasses but the touch feels different and smooth with popio glasses,i am using this for 3 weeks now.",cheap,negative,0,quality
"it is definitely not cheap looks wise.there is an on, off switch on the bottom which is helpful in saving the battery which is included when the mouse is not in use.",cheap,negative,0,quality
"keep your hands soft while typing.,although it is quite cheap and works nicely for me, i think this is not for those who look for soft touch keyboard.",cheap,negative,0,quality
"even a small movement can cause the second device to get unplugged from the usb port, which is not at all strong.,its cheap on multiple levels, first ad foremost money wise and then most importantly quality wise.",cheap,negative,0,quality
"the product appears cheap, but holds well.",cheap,negative,0,quality
i was expecting it to feel wonky and cheap but it actually feels decent.,cheap,negative,0,quality
but the button enclosure feels like cheap plastic and will break easily.,cheap,negative,0,quality
"you must be buy.,it's not sturdy on the bedmaterial is cheap.",cheap,negative,0,quality
"you get free pen , cheap through but it works.",cheap,negative,0,quality
she does not sound chinese like the cheap chinese headphones.,cheap,negative,0,quality
well i had a notion that cheap bt headphones could not produce good sound..,cheap,negative,0,quality
of course those cheap speakers would be louder and more shrill but it is about quality vs quantity.coming to the cons 1.,cheap,negative,0,quality
the technician brought a cheap hanging hook that had mrp inr116 on it and asked for inr499 for it without any receipt.,cheap,negative,0,quality
"simply superb, goverment shouldnt hinder amazon products , amazon products rather gives competition to local qualityless products which consumers are forced to buy beacause they have no quality competition.",quality,negative,1,quality
"if you want to avoid the cable this is a best product.,eco dot 3rd,product does its work but quality can be improved.",quality,negative,0,quality
"nice product,okay product at cheap price.",cheap,negative,0,quality
"in the end, it's a cheap chinese product sold in india at rs.",cheap,negative,0,quality
the packaging would be suspicious you would think a cheap unreliable product.,cheap,negative,0,quality
"liked it,sound is good but quality normal,good product impressive,sound nd bass is good nd value for money",quality,negative,0,quality
"no reimbursment, no quality suppport, no resposnse to emails apart from the standard script.",quality,negative,0,quality
"no volume control or on off button, comfortable to wear but not designed for comfort, clear sound, and a mic but no advanced features for either.",volume,negative,0,sound
why on god's green earth there is no audio jack?!?!!!!what is the use of hdmi port if user can't get video and audio both??2.,audio,negative,0,sound
"lg was always good , correct delivery, good service but sound quality was poor.",sound,negative,0,sound
"vu uhd smart 43 web os version good tv 2022 , picture quality and opareting nice , but sound quality i am not satisfied not afctvive to other t vs,hdr can t be turned off in apps,got it at 19k in the sale.",sound,negative,0,sound
"i had some extra cushions so i added those over the ear piece.,build quality is not that good but sound quality,noise cancellation is best in the range of less than 1000.,after covid 19 our life changes a lot.",sound,negative,0,sound
"jbl could have address this.,i have used it for listening songs and i can say it is good earphones for that price,average, expected too much but sound quality is good but bass is not that great.",sound,negative,0,sound
everything is fine but sound quality should be little bit more enhanced.,sound,negative,0,sound
"with no noise, the other person said i sounded great!",noise,negative,0,sound
sometimes no sound is received while playing audio from both devices.,sound,negative,0,sound
"ergonomic is also a must as i use these for long hours.currently, i use logitech m590 mouse which is really awesome and makes almost no noise at all.,great product,i have been using this product for 2years.",noise,negative,0,sound
"so, harman please include dual connectivity.bought this at 12.5k,good one, but sound is low.",sound,negative,0,sound
but full volume doesn't distort is loud enough.,volume,negative,0,sound
",battery level indicator not available,,good audio but the mic feature is not that good.,good bluetooth speakers by themselves but bit overpriced.",audio,negative,0,sound
the bass doesn't overpower them and feels just right.,bass,negative,0,sound
she does not sound chinese like the cheap chinese headphones.,sound,negative,0,sound
i was used to it on my 6t3 volume not too happy with the phone speakers.,volume,negative,0,sound
"for mids, the spectrum is tilted towards bit of high bass but surprising absence of very specific high bass frequencies as mentioned above , but its bearable.",bass,negative,0,sound
good quality sound but has less bass as other says but it's decent.,sound,negative,0,sound
it s a quality refined timbre bass not some low quality stuff.,bass,negative,0,sound
"people are complaining in reviews that it doesnot produce any bass, but actually its is the bass produced by the speaker which deteriorates the quality.",bass,negative,0,sound
"although i was able to detect in bios mine is basic for current usage 07wp95 , so i did not give up funny it may sound, no repair app.",sound,negative,0,sound
"excellent even sound, however the lack of bass as compared to the others pulls it back.",sound,negative,0,sound
"jbl crystal clear even at full volume, but has least sound level in all of three.",volume,negative,0,sound
"sennheisers tends to distort above 75 level of volume, but has greater sound level of all.",volume,negative,0,sound
"sound don't explode or go outside of the buds to 50 as it go outside on boat 510 headphone, so its good.5.",sound,negative,0,sound
the transiton between mid and lower mids bass isn't great.,bass,negative,0,sound
"does not fit the ear snugly.falls off often.,it's a good quality product but battery drains very fast.,anc is just a gimmick on this one, bass is poor, don't buy if you need bass.",bass,negative,0,sound
"no complaints.,good product,bass is not high,love it,",bass,negative,0,sound
"picture is crystal clear enjoy it with high speed internet., in smart tv but low sound quality., 8k it's worth , value for money.good picture quality and sound.satisfied customer.",sound,negative,0,sound
"stylish design and finishing also good but low audio volume.it's better to use extra speakers...,good quality for the price,it was amazing to see it in big picture at home..",audio,negative,0,sound
"the quality of the included cables is quite poor, so it's best to use something else.compared to the direct input from usb, the overall sound is poorer, with a shrunken soundstage and coarse vocals and treble.",sound,negative,0,sound
when you compare it with budget wired headphones like sennheiser cx 180 street ii bass is not too deep.,bass,negative,0,sound
"but if that's your thing, then you should know that the highs get pretty shrill at the setting, but the bass is still pretty clean and loud!3.",bass,negative,0,sound
only thing i am missing is volume control on headphone,volume,negative,0,sound
but the audio quality is average.,audio,negative,0,sound
"the cable is lengthy no quality loss till yet.ps i will update if there is any issues,,looks like cheap, but works fine",cheap,negative,0,value
"only issus is motion censor doesn't work,it's good but price is high and sometime it's not working so good can't take motion recording.,not up to mark",price,negative,0,value
"it fits the lg 2022 model's uq80 as well...a very good product.,done the job but value high.,product isn't bad, but the rate is very expensive.,nice",value,negative,0,value
"it's working very well good quality and amazon never disappoint me.thank you,not for good,it looks like original but the build quality is not so good but value for money",value,negative,0,value
