text,span,polarity,polarity_predicted,aspect,ordinal
"i have personally tested it with laboratory equipment and have found that it has a capacity of around 19000mah, which is very good compared to other power banks on the market.one of the things that i appreciate about the mi power bank 3i is that it is able to hold its charge for a long period of time.",charge,positive,positive,battery,0
"grip to the table is also really good,the size is alright, material is good too but holy cow it reeks of cheap rubber.,fairenough looking at price tag.,it is really a good product.",cheap,neutral,,value,0
"slow charging, charging speed is not fast,not happy with this product bcoz this is a highly priced as compared to its quality and the wire is not actually retracted easily.",speed,negative,negative,performance,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",value smartphone,positive,positive,value,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",value,positive,positive,value,0
"it is not feeling very handy to hold the device and press the button at the same time, sometimes the battery door opens while using it.,it s easy to use but creates a mess when i try to make coffee froth.",battery door,neutral,neutral,battery,0
"but as of now product seems to be good,very good quality with good speed,not good,everything great from packaging to cable quality",packaging,positive,,delivery,0
"though battery closing pane could have been better.usb transmitter 9 10 it's normal and can be carried inside the battery cavity.switch 5 10 on off switch is not handy, you need a long nail to switch it on off but is strong enough to resist a hard stroke when you force it to off with your nailless fingers.precision and laser 10 10 precision is just what most mouses have which is accurate and the laser is invisible no annoying light in the bottom .buttons 7 10 buttons produce a slight noise on click and after a long usage the left button is shaking slightly.overall ratings 9 10the main reason for you to buy this its battery efficiency, it will cost you only 12 inr for 8 months.,its very small and it trouble for my hand which is considerably smaller than other people it do fit nicely in 10 year old nephew but now mine but no complains works great from far distance so its good there its should be sold for 400 only its slighly over priced,nice mouse.easy to holdworking very smooth and fast, response time is very good.,good durable product,its a great mouse under this price for normal office use, it would have been much better if it had silent clicks!!!!!,working well so far.",battery efficiency,positive,positive,battery,0
"charging time is good with availability of different cable types.,considering the price compared to competitors at market, this is cheap, but no compromises have been made with respect to sturdiness or quality.",cheap,negative,,quality,0
"when we plug in mobile and then in pc i am getting some kind of error but files are intact and able to copy it,i like it's designe speed and build quality but there is a negetive point after you flip side for 10 to 20 time you will find that tha flip cover is starting to get loose,so far so good, it's early to right a review, as per my usage i will update accordingly,good,user friendly",designe speed,positive,positive,performance,0
my first iqoo z6 pro 8gb is updated to the latest august security patch update and drains battery at the rate of 10 percentage overnight for no specific reason.,battery,negative,,battery,0
"2nd purchase review....purchased on 17 july 2019, dash charge stopped working on 15 september 2019...",dash charge,neutral,neutral,battery,0
"but the main job can be done without any problem and i'm getting upto 100 mbps speed.,,the product is good for the use,not cheap but its ok price.",cheap,negative,,quality,0
i haven t used any other battery pack so will not be able to provide the exact expected performance.,performance,neutral,positive,performance,0
"so i think this chota power is not providing sufficient power.,for my daughter's notepad, the perfect cell which i received with fast delivery at home.what else one can expect from amazon!!",delivery,positive,,delivery,0
"i love this.,very good and working very nice,first of all, thanks to amazon for listing it as a returnable item and at an effective cost of less than 3k.coming to the device itself, the reason for purchasing it is to experience google tv.",cost,positive,positive,value,0
"very good producteasy to handleuse of dpi is awesome,use karne mai bhut badiya clicking no sound super quality hai mere according,i use it for wfh .",sound,positive,positive,sound,0
one for coffee another for green black tea.totally value for money.,value,positive,positive,value,0
don't buy it for rs.3k i suggest waiting for a discount because this thing is certainly not worth that much.,worth,negative,,value,0
