text,span,polarity,ordinal,aspect,cue_hits,cue_dist,product_id,n_cues
"does not fit the ear snugly.falls off often.,it's a good quality product but battery drains very fast.,anc is just a gimmick on this one, bass is poor, don't buy if you need bass.",battery,negative,0,battery,but|drain|drains|n't|not|poor,0,B08FB2LNSZ,6
no charging issues.build quality is plastic and can feel it.ear buds tips aren't comfortable for long listening.,charging,negative,0,battery,issue|issues|n't|no,0,B0B5GJRTHB,4
"i think that was a software glitch, anyway it didn't appear again for sake!,good but battery drain pretty fast...,volume is less,nice products",battery,negative,0,battery,but|didn|drain|n't,0,B08SMJT55F,4
"nice one doesnot pain the ear too much,it is a good product under rs.700 but battery backup could be more efficient.",battery,negative,0,battery,but|doesn|not,0,B08D77XZX5,3
"plus it gets charged slow.,all features of the watch is good but battery backup is very poor.",battery,negative,0,battery,but|poor|slow,0,B09DG9VNWB,3
"but power limitation is there it is not suitable for fast charging.,, data cable charging fast,very good quality and good durability,overall good but need some improvement...",power,negative,0,battery,but|not,0,B083342NKJ,2
"compatible with portable charger also,nice cable , length is very well good ,but charging speed is little bit slow otherwise good.",charging,negative,0,battery,but|slow,0,B0162K34H2,2
but battery life is not good enough though is says 5000 mah.,battery,negative,0,battery,but|not,0,B09WRMNJ9G,2
"earphones jack.overall ,camera excellent, but battery life not good, maximum 6 hours,as this price limit its a good mobile with camera, battery, screen quality",battery,negative,0,battery,but|not,0,B07WDK3ZS2,2
"and require some button for operation.,call pick up rejection function, next song play function not working on single touch,product is good but battery not as expected",battery,negative,0,battery,but|not,0,B08D11DZ2W,2
but battery should be better it has require charge 1 time in day.,battery,negative,0,battery,but,0,B0BF57RN3K,1
"working at the moment but can breakdown any moment.,never buy separate remote, it is useless,don't buy this product battery drain problem",battery,negative,0,battery,but|drain|n't|never|problem|useless,1,B09TY4MSH3,6
the unit i bought does not have any sort of heating issues or fast battery drain issue.,battery,positive,0,battery,drain|heating|issue|issues|not,1,B0B3CPQ5PF,5
"remaining all features are good...,ai is not working properly,watch is good ..but i had battery issue and alarm issues",battery,negative,0,battery,but|issue|issues|not,1,B0B5GF6DQD,4
"this is another reason ppl r complaining about charging issue since item is generic, zinq prolly doesn't even know...",charging,negative,0,battery,doesn|issue|n't|not,1,B08FGNPQ9X,4
"its a slow charging cable, but the look, sturdiness etc are impressive.planning to return the product.",charging,negative,0,battery,but|return|slow,1,B09KH58JZR,3
effective only post 40 and best only 90 level hotspot drains battery quickly even a warning notification pops up .,battery,negative,0,battery,drain|drains|not,1,B0B3CPQ5PF,3
i don't need 5g network because 5g drains battery a lot and 5g spends too much data.,battery,neutral,0,battery,drain|drains|n't,1,B09QS8V5N8,3
doing so will definitely cause serious overnight battery drain issues.,battery,negative,0,battery,drain|issue|issues,1,B07WDK3ZS2,3
my first iqoo z6 pro 8gb is updated to the latest august security patch update and drains battery at the rate of 10 percentage overnight for no specific reason.,battery,negative,0,battery,drain|drains|no,1,B07WDK3ZS2,3
"this is an amazing bluetooth earphone for its price 500 it's good sound,good battery but only problem is there it's band as its flexible it dosent stay at place when in neck they go over another.",battery,positive,0,battery,but|not|problem,1,B09GFWJDY1,3
"when using this cable to the same socket and charger, it showing 10 hrs.,iphone charger last for two months only,charging not fast,slow charging4500amh battery18 watt charger4 khant full charge,slow charging speed",charging,negative,0,battery,not|slow,1,B07XJYYH7L,2
"its a slow charging cable vooc not support,though they call it as fast charging cable, it actually is not a fast charging cable.i tried it with my samsung fast charging adapter.",charging,negative,0,battery,not|slow,1,B09KH58JZR,2
"suitable lenght.,3 leads working,user friendly for car drives,doesn't charge proper, tried all possible ways.",charge,negative,0,battery,doesn|n't,1,B0B21C4BMX,2
tried few cables from local stores and they either die or doesn't charge the device enough when it is in use.,charge,negative,0,battery,doesn|n't,1,B081FG1QYX,2
",battery drains like any thing.",battery,negative,0,battery,drain|drains,1,B0B3CPQ5PF,2
